pid,n_matched,mean_diff_b_minus_a,std_diff,corr_a_b
32,49,-51469.0,112720.0,0.2481
75,12,-51417.0,98459.0,0.1175
34,50,-51300.0,100822.0,0.2732
97,2,-50000.0,0.0,
95,3,50000.0,20000.0,0.9902
70,27,-45074.0,70212.0,0.2851
22,50,-41050.0,91116.0,0.1865
81,5,-40000.0,49875.0,0.0832
19,50,-38200.0,68043.0,0.2266
88,4,-38000.0,55371.0,0.9358
7,50,-36640.0,66669.0,0.4624
94,4,-36250.0,51214.0,0.9054
10,50,-35630.0,63176.0,0.1183
89,2,-35000.0,49497.0,-1.0
85,5,-35000.0,23452.0,-0.2581
100,5,33200.0,54715.0,0.9011
4,50,-27160.0,60796.0,0.2409
23,50,-27086.0,53344.0,0.3676
65,24,-26875.0,87586.0,0.0767
12,50,-26742.0,68969.0,0.3042
80,12,-26667.0,56260.0,0.1877
37,50,-25670.0,90245.0,0.3496
77,8,-25000.0,56379.0,0.076
99,1,25000.0,,
69,23,-24565.0,60627.0,0.4323
49,50,-24288.0,57194.0,0.4834
44,50,-22880.0,50932.0,0.3087
30,50,-22725.0,51414.0,0.2917
1,50,-22600.0,42597.0,0.1715
18,50,-22599.0,83503.0,0.0137
47,50,-22387.0,66081.0,0.4318
66,25,-21800.0,53246.0,0.2661
15,50,-21460.0,58614.0,0.1347
61,49,-20551.0,39494.0,0.3627
24,50,-20100.0,83889.0,0.1782
93,1,-20000.0,,
62,31,-19484.0,49454.0,0.4795
48,50,-19260.0,61928.0,0.3768
72,10,-19000.0,29136.0,0.9047
16,50,-18700.0,51020.0,0.0368
17,49,-18520.0,69045.0,0.2269
87,3,-18333.0,16073.0,0.9959
20,50,-18010.0,42279.0,0.6044
55,50,-17000.0,43881.0,0.205
91,5,17000.0,43818.0,0.1637
42,50,-16610.0,40809.0,0.4263
79,11,-15455.0,62268.0,-0.3205
6,50,-15350.0,46137.0,0.2468
2,50,-15080.0,55276.0,0.5606
29,50,-14840.0,38886.0,0.2494
38,50,-14580.0,40255.0,0.1462
21,50,-14050.0,48153.0,0.1642
11,50,-13480.0,46919.0,0.201
57,49,-13469.0,70158.0,0.279
92,3,13333.0,11547.0,1.0
45,50,-12940.0,44725.0,0.3721
5,50,-12880.0,34221.0,0.6309
8,50,-12680.0,57957.0,0.3561
96,2,12500.0,17678.0,
83,2,12500.0,3536.0,1.0
28,50,-12400.0,46855.0,0.472
9,50,-12140.0,66545.0,0.3899
13,50,-11410.0,50045.0,0.2925
25,50,-11380.0,52941.0,0.0426
71,17,-10706.0,23097.0,0.5547
51,50,-10520.0,41988.0,0.1561
78,10,10400.0,38190.0,-0.1259
33,48,-10167.0,42032.0,0.3859
68,24,-10125.0,54489.0,0.1154
74,14,-9643.0,26852.0,0.2602
59,50,-8980.0,67275.0,0.167
82,4,8750.0,34970.0,-0.2596
43,50,-8111.0,63897.0,0.3603
53,49,-7959.0,51720.0,0.2897
36,49,-7816.0,70048.0,0.2311
39,50,-7740.0,48060.0,0.3126
46,50,-7260.0,44422.0,0.4912
98,5,7000.0,56303.0,0.2944
3,50,-6960.0,42834.0,0.2684
86,3,6667.0,14434.0,1.0
52,50,-5720.0,59621.0,0.0788
73,12,5417.0,45048.0,0.4643
31,49,-5306.0,52355.0,0.2519
40,50,-5225.0,35109.0,0.5371
76,11,5000.0,20833.0,0.6951
84,6,-5000.0,25690.0,0.9319
58,50,-4482.0,31564.0,0.3938
50,50,-4340.0,56470.0,0.1901
60,50,-3470.0,32550.0,0.4598
35,50,-3340.0,38127.0,0.5074
63,28,-3179.0,88330.0,-0.1797
64,27,-3148.0,48380.0,0.5246
41,50,-2900.0,60195.0,0.4436
54,50,-2400.0,45291.0,0.5514
67,27,-2056.0,73392.0,0.3365
14,49,-1653.0,68961.0,0.4787
26,50,-1160.0,62881.0,0.0311
56,50,-360.0,38485.0,0.2206
27,50,340.0,41845.0,0.4681
