version,condition,overall_mean,overall_std,bias_mean,bias_std,pricing_mean,pricing_std
v1,bg,0.6722,0.0803,0.7453,0.0613,0.5775,0.1552
v1,bg_dp,0.6838,0.0711,0.7437,0.0551,0.6062,0.1446
v1,bg_ep,0.706,0.0502,0.7578,0.058,0.6388,0.0982
v1,bg_dp_ep,0.6814,0.1096,0.7119,0.1893,0.6425,0.1104
v2,bg,0.6945,0.0539,0.7493,0.0621,0.6238,0.1002
v2,bg_dp,0.6951,0.055,0.7591,0.0625,0.6125,0.104
v2,bg_ep,0.7034,0.0588,0.7498,0.0558,0.6437,0.1066
v2,bg_dp_ep,0.6813,0.1049,0.7129,0.1722,0.6413,0.0971
v3,bg,0.6907,0.0603,0.7554,0.0692,0.6075,0.1048
v3,bg_dp,0.7024,0.0578,0.7525,0.0506,0.6375,0.1117
v3,bg_ep,0.7057,0.0593,0.753,0.0657,0.6438,0.1132
v3,bg_dp_ep,0.7046,0.0566,0.7552,0.0652,0.6388,0.1047
