version,condition,overall_mean,overall_ci_lo,overall_ci_hi,bias_mean,bias_ci_lo,bias_ci_hi,pricing_mean,pricing_ci_lo,pricing_ci_hi
v1,bg,0.6734,0.6383,0.7082,0.7461,0.7204,0.7697,0.5793,0.515,0.645
v1,bg_dp,0.685,0.6551,0.7151,0.7442,0.7215,0.7663,0.6083,0.5475,0.6675
v1,bg_ep,0.7068,0.6859,0.7279,0.7586,0.7359,0.7813,0.6395,0.5999,0.68
v1,bg_dp_ep,0.6805,0.6371,0.7238,0.7096,0.6483,0.774,0.6435,0.595,0.69
v2,bg,0.6953,0.6731,0.7175,0.7502,0.7248,0.7748,0.6245,0.585,0.665
v2,bg_dp,0.6959,0.6726,0.7187,0.7599,0.7346,0.7856,0.6132,0.5675,0.6575
v2,bg_ep,0.7044,0.6798,0.7285,0.7506,0.7278,0.7731,0.645,0.6,0.69
v2,bg_dp_ep,0.6826,0.6437,0.7223,0.7144,0.6563,0.7702,0.6422,0.6,0.6825
v3,bg,0.6917,0.6661,0.7171,0.7563,0.7284,0.7838,0.6087,0.565,0.6525
v3,bg_dp,0.7035,0.6785,0.7279,0.7532,0.7318,0.7726,0.6391,0.59,0.6875
v3,bg_ep,0.7066,0.6818,0.7299,0.7539,0.7267,0.7803,0.6447,0.6,0.69
v3,bg_dp_ep,0.7055,0.6819,0.7295,0.756,0.7296,0.7811,0.6398,0.5975,0.6825
