experiment,model,persona,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling,N_personas
demographic_4mini,gpt-4.1-mini,demog,0.692,0.662,0.721,0.602,0.798,11
original_4mini,gpt-4.1-mini,full,0.719,0.661,0.778,0.59,0.798,11
skill_v1_4mini,gpt-4.1-mini,v1,0.71,0.658,0.763,0.602,0.798,11
skill_v2_4mini,gpt-4.1-mini,v2,0.708,0.659,0.756,0.548,0.798,11
skill_v3_4mini,gpt-4.1-mini,v3,0.721,0.667,0.776,0.546,0.798,11
skill_v4_4mini,gpt-4.1-mini,v4,0.701,0.653,0.749,0.576,0.798,11
demographic_o4mini,o4-mini,demog,0.711,0.654,0.768,0.571,0.798,11
original_o4mini,o4-mini,full,0.706,0.652,0.76,0.595,0.798,11
skill_v1_o4mini,o4-mini,v1,0.713,0.663,0.763,0.561,0.798,11
skill_v2_o4mini,o4-mini,v2,0.701,0.638,0.763,0.572,0.798,11
skill_v3_o4mini,o4-mini,v3,0.734,0.679,0.789,0.56,0.798,11
skill_v4_o4mini,o4-mini,v4,0.721,0.675,0.768,0.591,0.798,11
demographic_gpt4o,gpt-4o,demog,0.694,0.657,0.731,0.546,0.798,11
original_gpt4o,gpt-4o,full,0.705,0.659,0.751,0.586,0.798,11
skill_v1_gpt4o,gpt-4o,v1,0.708,0.67,0.747,0.573,0.798,11
skill_v2_gpt4o,gpt-4o,v2,0.726,0.7,0.753,0.549,0.798,11
skill_v3_gpt4o,gpt-4o,v3,0.719,0.687,0.75,0.562,0.798,11
skill_v4_gpt4o,gpt-4o,v4,0.714,0.673,0.755,0.577,0.798,11
