setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
skill_v1,none,ok,0.714,0.686,0.742,0.562,0.831
skill_v1,low,ok,0.725,0.693,0.757,0.597,0.831
skill_v1,medium,ok,0.707,0.676,0.739,0.579,0.831
skill_v1,high,ok,0.691,0.642,0.74,0.567,0.831
skill_v2,none,ok,0.717,0.689,0.745,0.586,0.831
skill_v2,low,ok,0.701,0.667,0.735,0.575,0.831
skill_v2,medium,ok,0.718,0.681,0.755,0.564,0.831
skill_v2,high,ok,0.717,0.684,0.749,0.609,0.831
skill_v3,none,ok,0.703,0.671,0.736,0.6,0.831
skill_v3,low,ok,0.733,0.699,0.766,0.59,0.831
skill_v3,medium,ok,0.707,0.669,0.745,0.591,0.831
skill_v3,high,ok,0.713,0.679,0.748,0.588,0.831
raw,none,ok,0.707,0.671,0.742,0.561,0.831
raw,low,ok,0.726,0.692,0.76,0.586,0.831
raw,medium,ok,0.72,0.69,0.749,0.562,0.831
raw,high,ok,0.695,0.658,0.733,0.565,0.831
raw_start_v1,none,ok,0.726,0.693,0.759,0.576,0.831
raw_start_v1,low,ok,0.71,0.675,0.744,0.58,0.831
raw_start_v1,medium,ok,0.696,0.66,0.731,0.597,0.831
raw_start_v1,high,ok,0.708,0.675,0.741,0.581,0.831
raw_start_v2,none,ok,0.713,0.684,0.741,0.578,0.831
raw_start_v2,low,ok,0.715,0.686,0.744,0.593,0.831
raw_start_v2,medium,ok,0.71,0.671,0.748,0.611,0.831
raw_start_v2,high,ok,0.713,0.68,0.745,0.577,0.831
raw_start_v3,none,ok,0.729,0.697,0.762,0.606,0.831
raw_start_v3,low,ok,0.714,0.689,0.739,0.567,0.831
raw_start_v3,medium,ok,0.716,0.685,0.748,0.61,0.831
raw_start_v3,high,ok,0.719,0.689,0.749,0.559,0.831
skill_v1_raw_end,none,ok,0.691,0.661,0.722,0.602,0.831
skill_v1_raw_end,low,ok,0.698,0.67,0.725,0.562,0.831
skill_v1_raw_end,medium,ok,0.706,0.675,0.737,0.609,0.831
skill_v1_raw_end,high,ok,0.717,0.684,0.749,0.586,0.831
skill_v2_raw_end,none,ok,0.709,0.665,0.754,0.572,0.831
skill_v2_raw_end,low,ok,0.727,0.691,0.762,0.573,0.831
skill_v2_raw_end,medium,ok,0.705,0.666,0.745,0.585,0.831
skill_v2_raw_end,high,ok,0.725,0.69,0.761,0.592,0.831
skill_v3_raw_end,none,ok,0.716,0.683,0.749,0.566,0.831
skill_v3_raw_end,low,ok,0.714,0.683,0.745,0.579,0.831
skill_v3_raw_end,medium,ok,0.716,0.687,0.746,0.571,0.831
skill_v3_raw_end,high,ok,0.725,0.692,0.758,0.603,0.831
