setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
skill_v1,none,0.6916,0.7594,0.7426,0.7761,0.6038,0.5698,0.6377
skill_v1,low,0.7022,0.7666,0.7499,0.7833,0.6188,0.585,0.6525
skill_v1,medium,0.672,0.7681,0.7507,0.7855,0.5475,0.5129,0.5821
skill_v1,high,0.665,0.749,0.7217,0.7762,0.5562,0.5217,0.5908
skill_v2,none,0.7031,0.7604,0.7436,0.7773,0.6288,0.5952,0.6623
skill_v2,low,0.6885,0.753,0.7357,0.7704,0.605,0.5711,0.6389
skill_v2,medium,0.6961,0.7664,0.7493,0.7835,0.605,0.5711,0.6389
skill_v2,high,0.6868,0.7645,0.7471,0.7818,0.5863,0.552,0.6205
skill_v3,none,0.682,0.7541,0.7371,0.7711,0.5888,0.5546,0.6229
skill_v3,low,0.7029,0.7688,0.752,0.7856,0.6175,0.5838,0.6512
skill_v3,medium,0.6746,0.7612,0.744,0.7784,0.5625,0.5281,0.5969
skill_v3,high,0.6717,0.7599,0.7425,0.7773,0.5575,0.523,0.592
raw,none,0.6926,0.7531,0.7356,0.7705,0.615,0.5812,0.6488
raw,low,0.6962,0.763,0.7458,0.7802,0.6112,0.5774,0.6451
raw,medium,0.6724,0.7688,0.7515,0.7862,0.5475,0.5129,0.5821
raw,high,0.663,0.76,0.7425,0.7775,0.5375,0.5029,0.5721
raw_start_v1,none,0.6872,0.7562,0.7392,0.7732,0.5988,0.5647,0.6328
raw_start_v1,low,0.683,0.7507,0.733,0.7684,0.5962,0.5622,0.6303
raw_start_v1,medium,0.6705,0.7607,0.7433,0.7781,0.5538,0.5192,0.5883
raw_start_v1,high,0.675,0.7677,0.7503,0.7851,0.555,0.5205,0.5895
raw_start_v2,none,0.6924,0.7548,0.7372,0.7724,0.6125,0.5787,0.6463
raw_start_v2,low,0.6959,0.7585,0.7414,0.7755,0.615,0.5812,0.6488
raw_start_v2,medium,0.6863,0.7636,0.7461,0.781,0.5863,0.552,0.6205
raw_start_v2,high,0.6844,0.765,0.7476,0.7824,0.58,0.5457,0.6143
raw_start_v3,none,0.695,0.7635,0.7463,0.7807,0.6062,0.5723,0.6402
raw_start_v3,low,0.6945,0.7569,0.7398,0.774,0.6138,0.5799,0.6476
raw_start_v3,medium,0.689,0.7693,0.752,0.7865,0.585,0.5508,0.6192
raw_start_v3,high,0.6864,0.7675,0.7501,0.7849,0.5812,0.547,0.6155
skill_v1_raw_end,none,0.6938,0.7446,0.7269,0.7623,0.63,0.5965,0.6635
skill_v1_raw_end,low,0.6845,0.7504,0.7328,0.7681,0.6,0.566,0.634
skill_v1_raw_end,medium,0.6745,0.7668,0.7495,0.7841,0.555,0.5205,0.5895
skill_v1_raw_end,high,0.6786,0.7694,0.752,0.7867,0.5612,0.5268,0.5957
skill_v2_raw_end,none,0.6919,0.7454,0.7281,0.7628,0.6225,0.5888,0.6562
skill_v2_raw_end,low,0.6911,0.7563,0.7391,0.7735,0.6075,0.5736,0.6414
skill_v2_raw_end,medium,0.6818,0.7624,0.745,0.7797,0.5775,0.5432,0.6118
skill_v2_raw_end,high,0.6835,0.7682,0.7512,0.7852,0.5738,0.5394,0.6081
skill_v3_raw_end,none,0.6799,0.7454,0.7282,0.7626,0.595,0.5609,0.6291
skill_v3_raw_end,low,0.69,0.7592,0.7417,0.7767,0.6012,0.5672,0.6353
skill_v3_raw_end,medium,0.6955,0.7664,0.7492,0.7837,0.6038,0.5698,0.6377
skill_v3_raw_end,high,0.6961,0.7683,0.751,0.7856,0.6025,0.5685,0.6365
