setting,reasoning,persona,response_status,incomplete_reason,prompt_tokens,reasoning_tokens,actual_output_tokens,total_tokens,response_text_len
skill_v1,none,pid_1,completed,,11589,0,2635,14224,9164
skill_v1,none,pid_2,completed,,12202,0,2709,14911,9450
skill_v1,none,pid_3,completed,,12028,0,3083,15111,10624
skill_v1,none,pid_4,completed,,11326,0,3104,14430,10639
skill_v1,none,pid_5,completed,,11316,0,2662,13978,9344
skill_v1,none,pid_6,completed,,10915,0,2678,13593,9406
skill_v1,none,pid_7,completed,,12834,0,2674,15508,9391
skill_v1,none,pid_8,completed,,12187,0,3068,15255,10570
skill_v1,none,pid_9,completed,,12529,0,2691,15220,9388
skill_v1,none,pid_10,completed,,12701,0,3074,15775,10599
skill_v1,none,pid_11,completed,,11140,0,2674,13814,9405
skill_v1,none,pid_12,completed,,11846,0,3104,14950,10650
skill_v1,none,pid_13,completed,,11780,0,3092,14872,10592
skill_v1,none,pid_14,completed,,12078,0,3106,15184,10645
skill_v1,none,pid_15,completed,,12934,0,2693,15627,9392
skill_v1,none,pid_16,completed,,11455,0,2692,14147,9401
skill_v1,none,pid_17,completed,,11551,0,2661,14212,9344
skill_v1,none,pid_18,completed,,10910,0,3059,13969,10538
skill_v1,none,pid_19,completed,,11255,0,3093,14348,10588
skill_v1,none,pid_20,completed,,11470,0,2666,14136,9365
skill_v1,low,pid_1,completed,,11589,530,3069,15188,10571
skill_v1,low,pid_2,completed,,12202,300,2851,15353,9542
skill_v1,low,pid_3,completed,,12028,24,3079,15131,10631
skill_v1,low,pid_4,completed,,11326,23,3105,14454,10648
skill_v1,low,pid_5,completed,,11316,451,3065,14832,10541
skill_v1,low,pid_6,completed,,10915,346,3068,14329,10565
skill_v1,low,pid_7,completed,,12834,463,2662,15959,9340
skill_v1,low,pid_8,completed,,12187,51,3070,15308,10567
skill_v1,low,pid_9,completed,,12529,22,3102,15653,10607
skill_v1,low,pid_10,completed,,12701,364,3065,16130,10552
skill_v1,low,pid_11,completed,,11140,25,2838,14003,9556
skill_v1,low,pid_12,completed,,11846,416,3084,15346,10569
skill_v1,low,pid_13,completed,,11780,516,3096,15392,10597
skill_v1,low,pid_14,completed,,12078,680,3089,15847,10568
skill_v1,low,pid_15,completed,,12934,33,3092,16059,10586
skill_v1,low,pid_16,completed,,11455,434,3089,14978,10560
skill_v1,low,pid_17,completed,,11551,35,3083,14669,10611
skill_v1,low,pid_18,completed,,10910,15,2664,13589,9341
skill_v1,low,pid_19,completed,,11255,414,3107,14776,10640
skill_v1,low,pid_20,completed,,11470,381,3067,14918,10544
skill_v1,medium,pid_1,completed,,11589,2913,3058,17560,10527
skill_v1,medium,pid_2,completed,,12202,3854,3084,19140,10541
skill_v1,medium,pid_3,completed,,12028,2875,3067,17970,10574
skill_v1,medium,pid_4,completed,,11326,3949,3083,18358,10555
skill_v1,medium,pid_5,completed,,11316,3267,3058,17641,10517
skill_v1,medium,pid_6,completed,,10915,3213,3062,17190,10553
skill_v1,medium,pid_7,completed,,12834,2386,3075,18295,10592
skill_v1,medium,pid_8,completed,,12187,2788,3069,18044,10553
skill_v1,medium,pid_9,completed,,12529,4344,3086,19959,10559
skill_v1,medium,pid_10,completed,,12701,3538,3067,19306,10563
skill_v1,medium,pid_11,completed,,11140,1034,3082,15256,10606
skill_v1,medium,pid_12,completed,,11846,2890,3082,17818,10560
skill_v1,medium,pid_13,completed,,11780,2685,3095,17560,10596
skill_v1,medium,pid_14,completed,,12078,4394,3087,19559,10552
skill_v1,medium,pid_15,completed,,12934,3106,3093,19133,10580
skill_v1,medium,pid_16,completed,,11455,6114,3046,20615,10337
skill_v1,medium,pid_17,completed,,11551,2912,3080,17543,10605
skill_v1,medium,pid_18,completed,,10910,5280,3058,19248,10530
skill_v1,medium,pid_19,completed,,11255,4842,3102,19199,10632
skill_v1,medium,pid_20,completed,,11470,2916,3066,17452,10564
skill_v1,high,pid_1,completed,,11589,11694,3065,26348,10558
skill_v1,high,pid_2,completed,,12202,14839,3086,30127,10551
skill_v1,high,pid_3,completed,,12028,7250,3075,22353,10612
skill_v1,high,pid_4,completed,,11326,10573,3101,25000,10621
skill_v1,high,pid_5,completed,,11316,10876,3057,25249,10527
skill_v1,high,pid_6,completed,,10915,9840,3040,23795,10386
skill_v1,high,pid_7,completed,,12834,20985,3048,36867,10482
skill_v1,high,pid_8,completed,,12187,8003,3071,23261,10564
skill_v1,high,pid_9,completed,,12529,11180,3085,26794,10548
skill_v1,high,pid_10,completed,,12701,12882,3059,28642,10532
skill_v1,high,pid_11,completed,,11140,14876,3077,29093,10589
skill_v1,high,pid_12,completed,,11846,8286,3086,23218,10562
skill_v1,high,pid_13,completed,,11780,11394,3100,26274,10617
skill_v1,high,pid_14,completed,,12078,10736,3095,25909,10600
skill_v1,high,pid_15,completed,,12934,15119,3091,31144,10583
skill_v1,high,pid_16,completed,,11455,10100,3083,24638,10556
skill_v1,high,pid_17,completed,,11551,12719,3036,27306,10365
skill_v1,high,pid_18,completed,,10910,13984,3047,27941,10413
skill_v1,high,pid_19,completed,,11255,10145,3095,24495,10592
skill_v1,high,pid_20,completed,,11470,9749,3063,24282,10538
skill_v2,none,pid_1,completed,,10929,0,2825,13754,9525
skill_v2,none,pid_2,completed,,13063,0,3089,16152,10572
skill_v2,none,pid_3,completed,,10783,0,3077,13860,10619
skill_v2,none,pid_4,completed,,10563,0,3090,13653,10568
skill_v2,none,pid_5,completed,,10359,0,2675,13034,9419
skill_v2,none,pid_6,completed,,10329,0,2823,13152,9509
skill_v2,none,pid_7,completed,,10376,0,2681,13057,9422
skill_v2,none,pid_8,completed,,10334,0,3077,13411,10612
skill_v2,none,pid_9,completed,,10448,0,2855,13303,9557
skill_v2,none,pid_10,completed,,10672,0,3079,13751,10617
skill_v2,none,pid_11,completed,,10355,0,3070,13425,10569
skill_v2,none,pid_12,completed,,10446,0,3078,13524,10519
skill_v2,none,pid_13,completed,,10744,0,3092,13836,10600
skill_v2,none,pid_14,completed,,10365,0,3088,13453,10559
skill_v2,none,pid_15,completed,,10737,0,2698,13435,9426
skill_v2,none,pid_16,completed,,10631,0,2838,13469,9504
skill_v2,none,pid_17,completed,,10348,0,3065,13413,10553
skill_v2,none,pid_18,completed,,10335,0,2817,13152,9474
skill_v2,none,pid_19,completed,,10618,0,2853,13471,9560
skill_v2,none,pid_20,completed,,10106,0,2630,12736,9150
skill_v2,low,pid_1,completed,,10929,666,3066,14661,10541
skill_v2,low,pid_2,completed,,13063,32,2848,15943,9510
skill_v2,low,pid_3,completed,,10783,582,3079,14444,10592
skill_v2,low,pid_4,completed,,10563,366,3083,14012,10552
skill_v2,low,pid_5,completed,,10359,310,3058,13727,10509
skill_v2,low,pid_6,completed,,10329,715,3060,14104,10517
skill_v2,low,pid_7,completed,,10376,684,3061,14121,10542
skill_v2,low,pid_8,completed,,10334,442,3072,13848,10566
skill_v2,low,pid_9,completed,,10448,464,3058,13970,10375
skill_v2,low,pid_10,completed,,10672,502,3068,14242,10568
skill_v2,low,pid_11,completed,,10355,38,3072,13465,10576
skill_v2,low,pid_12,completed,,10446,924,3080,14450,10528
skill_v2,low,pid_13,completed,,10744,725,3095,14564,10600
skill_v2,low,pid_14,completed,,10365,478,3093,13936,10575
skill_v2,low,pid_15,completed,,10737,416,3090,14243,10557
skill_v2,low,pid_16,completed,,10631,28,3087,13746,10588
skill_v2,low,pid_17,completed,,10348,220,2812,13380,9380
skill_v2,low,pid_18,completed,,10335,371,3071,13777,10571
skill_v2,low,pid_19,completed,,10618,319,3103,14040,10619
skill_v2,low,pid_20,completed,,10106,873,3061,14040,10536
skill_v2,medium,pid_1,completed,,10929,3221,3071,17221,10581
skill_v2,medium,pid_2,completed,,13063,2973,3090,19126,10570
skill_v2,medium,pid_3,completed,,10783,3378,3069,17230,10581
skill_v2,medium,pid_4,completed,,10563,3524,3119,17206,10715
skill_v2,medium,pid_5,completed,,10359,3500,3057,16916,10522
skill_v2,medium,pid_6,completed,,10329,2795,3029,16153,10338
skill_v2,medium,pid_7,completed,,10376,2426,3062,15864,10537
skill_v2,medium,pid_8,completed,,10334,2866,3071,16271,10563
skill_v2,medium,pid_9,completed,,10448,3491,3093,17032,10588
skill_v2,medium,pid_10,completed,,10672,2992,3063,16727,10540
skill_v2,medium,pid_11,completed,,10355,2512,3076,15943,10580
skill_v2,medium,pid_12,completed,,10446,5200,3080,18726,10545
skill_v2,medium,pid_13,completed,,10744,2286,3097,16127,10610
skill_v2,medium,pid_14,completed,,10365,3067,3094,16526,10580
skill_v2,medium,pid_15,completed,,10737,2867,3089,16693,10590
skill_v2,medium,pid_16,completed,,10631,2282,3051,15964,10350
skill_v2,medium,pid_17,completed,,10348,3152,3070,16570,10559
skill_v2,medium,pid_18,completed,,10335,2526,3066,15927,10561
skill_v2,medium,pid_19,completed,,10618,4018,3098,17734,10603
skill_v2,medium,pid_20,completed,,10106,3624,3030,16760,10353
skill_v2,high,pid_1,completed,,10929,9264,3058,23251,10525
skill_v2,high,pid_2,completed,,13063,9840,3087,25990,10563
skill_v2,high,pid_3,completed,,10783,9215,3073,23071,10592
skill_v2,high,pid_4,completed,,10563,9322,3102,22987,10627
skill_v2,high,pid_5,completed,,10359,10605,3060,24024,10552
skill_v2,high,pid_6,completed,,10329,14901,3064,28294,10545
skill_v2,high,pid_7,completed,,10376,12430,3031,25837,10356
skill_v2,high,pid_8,completed,,10334,10127,3074,23535,10580
skill_v2,high,pid_9,completed,,10448,8114,3099,21661,10608
skill_v2,high,pid_10,completed,,10672,8260,3061,21993,10534
skill_v2,high,pid_11,completed,,10355,17333,3075,30763,10596
skill_v2,high,pid_12,completed,,10446,15381,3084,28911,10551
skill_v2,high,pid_13,completed,,10744,13257,3097,27098,10613
skill_v2,high,pid_14,completed,,10365,10090,3091,23546,10566
skill_v2,high,pid_15,completed,,10737,12096,3092,25925,10577
skill_v2,high,pid_16,completed,,10631,8766,3081,22478,10552
skill_v2,high,pid_17,completed,,10348,12948,2806,26102,9264
skill_v2,high,pid_18,completed,,10335,11394,3084,24813,10621
skill_v2,high,pid_19,completed,,10618,8466,3100,22184,10604
skill_v2,high,pid_20,completed,,10106,13672,3062,26840,10546
skill_v3,none,pid_1,completed,,11485,0,2665,14150,9347
skill_v3,none,pid_2,completed,,11207,0,2844,14051,9507
skill_v3,none,pid_3,completed,,11345,0,3072,14417,10605
skill_v3,none,pid_4,completed,,11487,0,3101,14588,10619
skill_v3,none,pid_5,completed,,11645,0,2658,14303,9344
skill_v3,none,pid_6,completed,,11302,0,2664,13966,9375
skill_v3,none,pid_7,completed,,10678,0,2683,13361,9438
skill_v3,none,pid_8,completed,,9636,0,2672,12308,9376
skill_v3,none,pid_9,completed,,11526,0,2852,14378,9547
skill_v3,none,pid_10,completed,,11006,0,3083,14089,10629
skill_v3,none,pid_11,completed,,9580,0,3079,12659,10602
skill_v3,none,pid_12,completed,,11144,0,3079,14223,10530
skill_v3,none,pid_13,completed,,11228,0,3094,14322,10601
skill_v3,none,pid_14,completed,,11487,0,2848,14335,9513
skill_v3,none,pid_15,completed,,11570,0,3096,14666,10615
skill_v3,none,pid_16,completed,,11242,0,2806,14048,9309
skill_v3,none,pid_17,completed,,11472,0,2677,14149,9397
skill_v3,none,pid_18,completed,,10605,0,2653,13258,9312
skill_v3,none,pid_19,completed,,11422,0,2694,14116,9404
skill_v3,none,pid_20,completed,,11300,0,3062,14362,10549
skill_v3,low,pid_1,completed,,11485,473,3079,15037,10612
skill_v3,low,pid_2,completed,,11207,430,3080,14717,10529
skill_v3,low,pid_3,completed,,11345,25,3077,14447,10596
skill_v3,low,pid_4,completed,,11487,680,3083,15250,10536
skill_v3,low,pid_5,completed,,11645,36,3088,14769,10651
skill_v3,low,pid_6,completed,,11302,516,3061,14879,10513
skill_v3,low,pid_7,completed,,10678,578,3059,14315,10526
skill_v3,low,pid_8,completed,,9636,23,3075,12734,10584
skill_v3,low,pid_9,completed,,11526,937,3098,15561,10608
skill_v3,low,pid_10,completed,,11006,437,3057,14500,10512
skill_v3,low,pid_11,completed,,9580,358,3073,13011,10592
skill_v3,low,pid_12,completed,,11144,648,3089,14881,10582
skill_v3,low,pid_13,completed,,11228,582,3091,14901,10580
skill_v3,low,pid_14,completed,,11487,26,3082,14595,10532
skill_v3,low,pid_15,completed,,11570,35,2861,14466,9569
skill_v3,low,pid_16,completed,,11242,396,3083,14721,10534
skill_v3,low,pid_17,completed,,11472,446,3073,14991,10582
skill_v3,low,pid_18,completed,,10605,340,3060,14005,10534
skill_v3,low,pid_19,completed,,11422,628,3096,15146,10599
skill_v3,low,pid_20,completed,,11300,860,3063,15223,10548
skill_v3,medium,pid_1,completed,,11485,3196,3059,17740,10533
skill_v3,medium,pid_2,completed,,11207,2765,3082,17054,10537
skill_v3,medium,pid_3,completed,,11345,3652,3071,18068,10563
skill_v3,medium,pid_4,completed,,11487,3839,3112,18438,10674
skill_v3,medium,pid_5,completed,,11645,6214,3065,20924,10576
skill_v3,medium,pid_6,completed,,11302,3744,3062,18108,10545
skill_v3,medium,pid_7,completed,,10678,4623,3054,18355,10514
skill_v3,medium,pid_8,completed,,9636,3624,3072,16332,10573
skill_v3,medium,pid_9,completed,,11526,3276,3094,17896,10591
skill_v3,medium,pid_10,completed,,11006,3624,3085,17715,10639
skill_v3,medium,pid_11,completed,,9580,2790,3070,15440,10550
skill_v3,medium,pid_12,completed,,11144,4444,3059,18647,10375
skill_v3,medium,pid_13,completed,,11228,3624,3094,17946,10592
skill_v3,medium,pid_14,completed,,11487,3682,3104,18273,10626
skill_v3,medium,pid_15,completed,,11570,3007,3093,17670,10598
skill_v3,medium,pid_16,completed,,11242,2999,3086,17327,10571
skill_v3,medium,pid_17,completed,,11472,5460,3069,20001,10570
skill_v3,medium,pid_18,completed,,10605,1818,3061,15484,10534
skill_v3,medium,pid_19,completed,,11422,3106,3095,17623,10583
skill_v3,medium,pid_20,completed,,11300,2865,3032,17197,10354
skill_v3,high,pid_1,completed,,11485,10876,3081,25442,10637
skill_v3,high,pid_2,completed,,11207,11655,3082,25944,10534
skill_v3,high,pid_3,completed,,11345,10358,3069,24772,10568
skill_v3,high,pid_4,completed,,11487,10621,3070,25178,10431
skill_v3,high,pid_5,completed,,11645,10205,3025,24875,10336
skill_v3,high,pid_6,completed,,11302,14428,3067,28797,10560
skill_v3,high,pid_7,completed,,10678,10272,3057,24007,10534
skill_v3,high,pid_8,completed,,9636,10174,3059,22869,10481
skill_v3,high,pid_9,completed,,11526,9322,3095,23943,10599
skill_v3,high,pid_10,completed,,11006,9650,3054,23710,10442
skill_v3,high,pid_11,completed,,9580,12430,3037,25047,10361
skill_v3,high,pid_12,completed,,11144,9322,3085,23551,10558
skill_v3,high,pid_13,completed,,11228,10117,3094,24439,10598
skill_v3,high,pid_14,completed,,11487,11142,3079,25708,10540
skill_v3,high,pid_15,completed,,11570,13338,3060,27968,10381
skill_v3,high,pid_16,completed,,11242,13920,3078,28240,10537
skill_v3,high,pid_17,completed,,11472,10219,3088,24779,10627
skill_v3,high,pid_18,completed,,10605,10622,3064,24291,10547
skill_v3,high,pid_19,completed,,11422,11738,3091,26251,10554
skill_v3,high,pid_20,completed,,11300,10358,3061,24719,10545
raw,none,pid_1,completed,,35588,0,3075,38663,10592
raw,none,pid_2,completed,,36037,0,3090,39127,10551
raw,none,pid_3,completed,,35623,0,3077,38700,10613
raw,none,pid_4,completed,,35712,0,1889,37601,7861
raw,none,pid_5,completed,,35854,0,3065,38919,10562
raw,none,pid_6,completed,,36093,0,3066,39159,10544
raw,none,pid_7,completed,,35866,0,3080,38946,10629
raw,none,pid_8,completed,,35863,0,3067,38930,10556
raw,none,pid_9,completed,,36020,0,3146,39166,10751
raw,none,pid_10,completed,,35910,0,3078,38988,10628
raw,none,pid_11,completed,,35702,0,3085,38787,10613
raw,none,pid_12,completed,,35729,0,3080,38809,10542
raw,none,pid_13,completed,,35847,0,3086,38933,10582
raw,none,pid_14,completed,,35886,0,3098,38984,10600
raw,none,pid_15,completed,,35836,0,3087,38923,10569
raw,none,pid_16,completed,,35827,0,3109,38936,10642
raw,none,pid_17,completed,,35610,0,3072,38682,10600
raw,none,pid_18,completed,,35772,0,3054,38826,10514
raw,none,pid_19,completed,,35826,0,3095,38921,10579
raw,none,pid_20,completed,,35722,0,3063,38785,10544
raw,low,pid_1,completed,,35588,431,3074,39093,10575
raw,low,pid_2,completed,,36037,491,1886,38414,7850
raw,low,pid_3,completed,,35623,558,3075,39256,10568
raw,low,pid_4,completed,,35712,592,3115,39419,10681
raw,low,pid_5,completed,,35854,364,3065,39283,10551
raw,low,pid_6,completed,,36093,412,3064,39569,10535
raw,low,pid_7,completed,,35866,627,3054,39547,10508
raw,low,pid_8,completed,,35863,479,3071,39413,10567
raw,low,pid_9,completed,,36020,40,3095,39155,10598
raw,low,pid_10,completed,,35910,714,3063,39687,10538
raw,low,pid_11,completed,,35702,436,3073,39211,10561
raw,low,pid_12,completed,,35729,401,3084,39214,10556
raw,low,pid_13,completed,,35847,108,3093,39048,10592
raw,low,pid_14,completed,,35886,422,3088,39396,10562
raw,low,pid_15,completed,,35836,513,3096,39445,10598
raw,low,pid_16,completed,,35827,493,3125,39445,10655
raw,low,pid_17,completed,,35610,32,3056,38698,10526
raw,low,pid_18,completed,,35772,484,3118,39374,10733
raw,low,pid_19,completed,,35826,543,3098,39467,10601
raw,low,pid_20,completed,,35722,429,3070,39221,10576
raw,medium,pid_1,completed,,35588,2556,3057,41201,10512
raw,medium,pid_2,completed,,36037,4796,3081,43914,10527
raw,medium,pid_3,completed,,35623,3534,3069,42226,10572
raw,medium,pid_4,completed,,35712,5130,3102,43944,10606
raw,medium,pid_5,completed,,35854,3814,3061,42729,10547
raw,medium,pid_6,completed,,36093,6123,3079,45295,10620
raw,medium,pid_7,completed,,35866,4342,3066,43274,10566
raw,medium,pid_8,completed,,35863,4290,3071,43224,10569
raw,medium,pid_9,completed,,36020,5523,3069,44612,10481
raw,medium,pid_10,completed,,35910,4696,3056,43662,10509
raw,medium,pid_11,completed,,35702,3828,3081,42611,10603
raw,medium,pid_12,completed,,35729,4142,3083,42954,10555
raw,medium,pid_13,completed,,35847,3950,3096,42893,10599
