setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
bg,none,ok,0.66,0.625,0.695,0.582,0.832
bg,low,ok,0.684,0.65,0.717,0.589,0.832
bg,medium,ok,0.689,0.659,0.719,0.572,0.832
bg,high,ok,0.679,0.647,0.712,0.576,0.832
bg_dp,none,ok,-32.03,-100.436,36.375,0.592,0.832
bg_dp,low,ok,0.687,0.657,0.717,0.563,0.832
bg_dp,medium,ok,0.692,0.664,0.721,0.585,0.832
bg_dp,high,ok,0.669,0.642,0.697,0.599,0.832
bg_tools,none,ok,0.683,0.643,0.723,0.575,0.832
bg_tools,low,ok,0.68,0.648,0.711,0.555,0.832
bg_tools,medium,ok,0.67,0.641,0.699,0.572,0.832
bg_tools,high,ok,0.706,0.68,0.732,0.587,0.832
bg_ep,none,ok,-32.311,-100.683,36.061,0.611,0.832
bg_ep,low,ok,0.664,0.635,0.692,0.568,0.832
bg_ep,medium,ok,0.701,0.665,0.737,0.585,0.832
bg_ep,high,ok,0.692,0.663,0.721,0.593,0.832
bg_dp_tools,none,ok,0.661,0.63,0.693,0.587,0.832
bg_dp_tools,low,ok,0.675,0.644,0.705,0.6,0.832
bg_dp_tools,medium,ok,0.691,0.66,0.721,0.584,0.832
bg_dp_tools,high,ok,0.688,0.663,0.713,0.583,0.832
bg_dp_ep,none,ok,0.676,0.645,0.706,0.591,0.832
bg_dp_ep,low,ok,0.674,0.642,0.707,0.601,0.832
bg_dp_ep,medium,ok,0.68,0.655,0.705,0.605,0.832
bg_dp_ep,high,ok,0.687,0.654,0.719,0.61,0.832
bg_dp_tools_ep,none,ok,0.693,0.663,0.723,0.584,0.832
bg_dp_tools_ep,low,ok,0.692,0.664,0.719,0.583,0.832
bg_dp_tools_ep,medium,ok,0.683,0.659,0.707,0.587,0.832
bg_dp_tools_ep,high,ok,0.686,0.659,0.713,0.569,0.832
