setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,none,0.6173,0.7318,0.714,0.7496,0.4712,0.4366,0.5059
bg,low,0.6183,0.7415,0.724,0.7591,0.4612,0.4266,0.4959
bg,medium,0.6224,0.7527,0.7354,0.77,0.4562,0.4217,0.4908
bg,high,0.6211,0.7415,0.724,0.759,0.4675,0.4329,0.5021
bg_dp,none,-5.4929,-10.1706,-31.5456,11.2044,0.4712,0.4366,0.5059
bg_dp,low,0.6142,0.742,0.725,0.7591,0.4512,0.4167,0.4858
bg_dp,medium,0.6125,0.7448,0.7276,0.762,0.4438,0.4092,0.4783
bg_dp,high,0.6165,0.7412,0.7236,0.7589,0.4575,0.4229,0.4921
bg_tools,none,0.617,0.7334,0.7157,0.751,0.4688,0.4341,0.5034
bg_tools,low,0.6141,0.733,0.7154,0.7506,0.4625,0.4279,0.4971
bg_tools,medium,0.6067,0.7413,0.7238,0.7588,0.435,0.4006,0.4694
bg_tools,high,0.6186,0.7587,0.7416,0.7759,0.44,0.4055,0.4745
bg_ep,none,-5.5425,-10.2621,-31.6375,11.1134,0.475,0.4403,0.5097
bg_ep,low,0.6086,0.7232,0.7012,0.7452,0.4625,0.4279,0.4971
bg_ep,medium,0.6169,0.7517,0.7344,0.769,0.445,0.4105,0.4795
bg_ep,high,0.6196,0.7546,0.7372,0.772,0.4475,0.413,0.482
bg_dp_tools,none,0.62,0.723,0.7052,0.7408,0.4888,0.454,0.5235
bg_dp_tools,low,0.6107,0.7377,0.72,0.7553,0.4488,0.4142,0.4833
bg_dp_tools,medium,0.6136,0.7448,0.7275,0.7621,0.4462,0.4117,0.4808
bg_dp_tools,high,0.6134,0.7484,0.7308,0.7659,0.4412,0.4068,0.4757
bg_dp_ep,none,0.6132,0.7147,0.6963,0.7331,0.4838,0.449,0.5185
bg_dp_ep,low,0.6205,0.7365,0.719,0.7541,0.4725,0.4378,0.5072
bg_dp_ep,medium,0.6056,0.7432,0.7258,0.7607,0.43,0.3956,0.4644
bg_dp_ep,high,0.6173,0.7475,0.7304,0.7646,0.4512,0.4167,0.4858
bg_dp_tools_ep,none,0.6279,0.743,0.7255,0.7604,0.4812,0.4466,0.5159
bg_dp_tools_ep,low,0.62,0.7474,0.7302,0.7645,0.4575,0.4229,0.4921
bg_dp_tools_ep,medium,0.622,0.7472,0.7298,0.7646,0.4625,0.4279,0.4971
bg_dp_tools_ep,high,0.6211,0.7523,0.735,0.7697,0.4538,0.4192,0.4883
