setting,reasoning,persona,response_status,incomplete_reason,prompt_tokens,reasoning_tokens,actual_output_tokens,total_tokens,response_text_len
skill_v1,none,pid_1,completed,,11589,0,3026,14615,10337
skill_v1,none,pid_2,completed,,12202,0,3078,15280,10527
skill_v1,none,pid_3,completed,,12028,0,3031,15059,10364
skill_v1,none,pid_4,completed,,11326,0,3095,14421,10597
skill_v1,none,pid_5,completed,,11316,0,3030,14346,10361
skill_v1,none,pid_6,completed,,10915,0,3068,13983,10610
skill_v1,none,pid_7,completed,,12834,0,3070,15904,10590
skill_v1,none,pid_8,completed,,12187,0,3047,15234,10471
skill_v1,none,pid_9,completed,,12529,0,3061,15590,10398
skill_v1,none,pid_10,completed,,12701,0,3044,15745,10437
skill_v1,none,pid_11,completed,,11140,0,3040,14180,10394
skill_v1,none,pid_12,completed,,11846,0,3077,14923,10552
skill_v1,none,pid_13,completed,,11780,0,3056,14836,10368
skill_v1,none,pid_14,completed,,12078,0,3060,15138,10430
skill_v1,none,pid_15,completed,,12934,0,3058,15992,10402
skill_v1,none,pid_16,completed,,11455,0,3051,14506,10345
skill_v1,none,pid_17,completed,,11551,0,3092,14643,10687
skill_v1,none,pid_18,completed,,10910,0,3061,13971,10548
skill_v1,none,pid_19,completed,,11255,0,3062,14317,10394
skill_v1,none,pid_20,completed,,11470,0,3034,14504,10381
skill_v1,low,pid_1,completed,,11589,28,3087,14704,10644
skill_v1,low,pid_2,completed,,12202,1402,3055,16659,10361
skill_v1,low,pid_3,completed,,12028,1466,3038,16532,10386
skill_v1,low,pid_4,completed,,11326,1358,3081,15765,10541
skill_v1,low,pid_5,completed,,11316,1043,3042,15401,10430
skill_v1,low,pid_6,completed,,10915,1303,3032,15250,10358
skill_v1,low,pid_7,completed,,12834,1433,3083,17350,10626
skill_v1,low,pid_8,completed,,12187,1309,3051,16547,10447
skill_v1,low,pid_9,completed,,12529,1462,3052,17043,10359
skill_v1,low,pid_10,completed,,12701,1621,3059,17381,10535
skill_v1,low,pid_11,completed,,11140,1450,3044,15634,10396
skill_v1,low,pid_12,completed,,11846,1123,3066,16035,10455
skill_v1,low,pid_13,completed,,11780,54,3095,14929,10602
skill_v1,low,pid_14,completed,,12078,1231,3072,16381,10423
skill_v1,low,pid_15,completed,,12934,95,3092,16121,10614
skill_v1,low,pid_16,completed,,11455,1280,3105,15840,10661
skill_v1,low,pid_17,completed,,11551,1602,3035,16188,10356
skill_v1,low,pid_18,completed,,10910,1458,3057,15425,10507
