setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
bg,none,ok,0.689,0.654,0.723,0.581,0.832
bg,low,ok,0.679,0.64,0.718,0.574,0.832
bg,medium,ok,0.685,0.652,0.718,0.57,0.832
bg,high,ok,0.673,0.653,0.694,0.599,0.832
bg_dp,none,ok,0.649,0.611,0.687,0.574,0.832
bg_dp,low,ok,0.654,0.612,0.695,0.586,0.832
bg_dp,medium,ok,0.679,0.646,0.712,0.602,0.832
bg_dp,high,ok,0.691,0.662,0.719,0.597,0.832
bg_ep,none,ok,0.661,0.62,0.702,0.566,0.832
bg_ep,low,ok,0.677,0.632,0.722,0.583,0.832
bg_ep,medium,ok,0.677,0.65,0.704,0.554,0.832
bg_ep,high,ok,0.675,0.641,0.709,0.569,0.832
bg_dp_ep,none,ok,0.668,0.635,0.701,0.563,0.832
bg_dp_ep,low,ok,0.672,0.631,0.714,0.59,0.832
bg_dp_ep,medium,ok,0.675,0.642,0.708,0.588,0.832
bg_dp_ep,high,ok,0.693,0.66,0.726,0.596,0.832
