setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,none,0.6187,0.7382,0.7207,0.7557,0.4662,0.4316,0.5009
bg,low,0.6201,0.7418,0.7246,0.7589,0.465,0.4304,0.4996
bg,medium,0.6073,0.7483,0.731,0.7657,0.4275,0.3931,0.4619
bg,high,0.6123,0.7435,0.726,0.7609,0.445,0.4105,0.4795
bg_dp,none,0.6088,0.7205,0.7022,0.7389,0.4662,0.4316,0.5009
bg_dp,low,0.5899,0.687,0.6511,0.7228,0.4662,0.4316,0.5009
bg_dp,medium,0.6072,0.7433,0.726,0.7605,0.4338,0.3993,0.4682
bg_dp,high,0.6122,0.7532,0.736,0.7703,0.4325,0.3981,0.4669
bg_ep,none,0.5972,0.7147,0.6964,0.7329,0.4475,0.413,0.482
bg_ep,low,0.6207,0.7439,0.7258,0.762,0.4638,0.4291,0.4984
bg_ep,medium,0.6158,0.7458,0.7284,0.7633,0.45,0.4155,0.4845
bg_ep,high,0.6262,0.7527,0.7353,0.77,0.465,0.4304,0.4996
bg_dp_ep,none,0.6259,0.7335,0.7155,0.7515,0.4888,0.454,0.5235
bg_dp_ep,low,0.6077,0.7195,0.6964,0.7427,0.465,0.4304,0.4996
bg_dp_ep,medium,0.6171,0.7443,0.7257,0.7629,0.455,0.4204,0.4896
bg_dp_ep,high,0.6258,0.7519,0.7345,0.7692,0.465,0.4304,0.4996
