setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
bg,none,ok,0.684,0.652,0.716,0.583,0.832
bg,low,ok,0.689,0.652,0.727,0.56,0.831
bg,medium,ok,0.679,0.65,0.708,0.563,0.832
bg,high,ok,0.691,0.659,0.724,0.579,0.832
bg_dp,none,ok,0.672,0.648,0.696,0.566,0.832
bg_dp,low,ok,0.678,0.649,0.707,0.572,0.832
bg_dp,medium,ok,0.694,0.674,0.714,0.605,0.832
bg_dp,high,ok,0.676,0.655,0.696,0.593,0.832
bg_ep,none,ok,0.357,-0.325,1.039,0.593,0.832
bg_ep,low,ok,0.694,0.662,0.725,0.574,0.832
bg_ep,medium,ok,0.7,0.67,0.729,0.595,0.832
bg_ep,high,ok,0.684,0.646,0.721,0.6,0.832
bg_dp_ep,none,ok,0.668,0.633,0.703,0.592,0.832
bg_dp_ep,low,ok,0.663,0.631,0.696,0.58,0.832
bg_dp_ep,medium,ok,0.69,0.664,0.716,0.6,0.832
bg_dp_ep,high,ok,0.68,0.656,0.705,0.596,0.832
