setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,none,0.6823,0.6954,0.6611,0.7297,0.4738,0.4324,0.5151
bg,low,0.6867,0.7019,0.6617,0.7421,0.445,0.4077,0.4823
bg,medium,0.6765,0.6905,0.6607,0.7203,0.4525,0.4116,0.4934
bg,high,0.6896,0.7045,0.6702,0.7388,0.4512,0.417,0.4855
bg_dp,none,0.6729,0.6844,0.659,0.7098,0.4887,0.4395,0.538
bg_dp,low,0.6755,0.6895,0.6583,0.7206,0.4525,0.4177,0.4873
bg_dp,medium,0.6911,0.7062,0.6857,0.7267,0.45,0.4152,0.4848
bg_dp,high,0.6735,0.6861,0.6645,0.7078,0.4725,0.4315,0.5135
bg_ep,none,0.3552,0.3472,-0.3756,1.07,0.4838,0.4385,0.529
bg_ep,low,0.6922,0.7057,0.6711,0.7404,0.475,0.4291,0.5209
bg_ep,medium,0.6976,0.7114,0.6812,0.7417,0.4762,0.4329,0.5196
bg_ep,high,0.6816,0.6939,0.6553,0.7326,0.485,0.4446,0.5254
bg_dp_ep,none,0.6656,0.6767,0.6384,0.7149,0.4887,0.4417,0.5358
bg_dp_ep,low,0.6607,0.6726,0.638,0.7072,0.47,0.4216,0.5184
bg_dp_ep,medium,0.6875,0.7012,0.6736,0.7288,0.4675,0.4293,0.5057
bg_dp_ep,high,0.6783,0.6899,0.6641,0.7156,0.4938,0.4592,0.5283
