setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
skill_v2_v1,none,ok,0.682,0.65,0.714,0.582,0.834
skill_v2_v1,low,ok,0.688,0.653,0.723,0.598,0.832
skill_v2_v1,medium,ok,0.694,0.661,0.727,0.6,0.832
skill_v2_v1,high,ok,0.699,0.671,0.727,0.605,0.832
skill_v2_v2,none,ok,0.684,0.654,0.714,0.602,0.832
skill_v2_v2,low,ok,0.672,0.637,0.708,0.59,0.832
skill_v2_v2,medium,ok,0.681,0.648,0.713,0.576,0.832
skill_v2_v2,high,ok,0.68,0.65,0.71,0.601,0.832
skill_v2_v3,none,ok,0.679,0.645,0.712,0.568,0.832
skill_v2_v3,low,ok,0.654,0.616,0.693,0.589,0.832
skill_v2_v3,medium,ok,0.683,0.654,0.711,0.596,0.832
skill_v2_v3,high,ok,0.698,0.672,0.723,0.574,0.832
