setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
skill_v2_v1,none,0.6163,0.73,0.7124,0.7477,0.4738,0.4391,0.5084
skill_v2_v1,low,0.6145,0.7434,0.7259,0.761,0.45,0.4155,0.4845
skill_v2_v1,medium,0.6091,0.7379,0.7173,0.7584,0.445,0.4105,0.4795
skill_v2_v1,high,0.6156,0.7533,0.7359,0.7708,0.44,0.4055,0.4745
skill_v2_v2,none,0.6288,0.7367,0.719,0.7543,0.4912,0.4565,0.526
skill_v2_v2,low,0.6228,0.7309,0.713,0.7488,0.485,0.4503,0.5197
skill_v2_v2,medium,0.6209,0.7451,0.7277,0.7625,0.4625,0.4279,0.4971
skill_v2_v2,high,0.6321,0.7455,0.7279,0.763,0.4875,0.4528,0.5222
skill_v2_v3,none,0.611,0.7107,0.6918,0.7296,0.4838,0.449,0.5185
skill_v2_v3,low,0.6116,0.7285,0.7094,0.7476,0.4625,0.4279,0.4971
skill_v2_v3,medium,0.6206,0.7505,0.733,0.7679,0.455,0.4204,0.4896
skill_v2_v3,high,0.6261,0.7534,0.7361,0.7707,0.4638,0.4291,0.4984
