setting,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
skill_v1,ok,0.674,0.535,0.813,0.514,0.759
skill_v2,ok,0.659,0.545,0.773,0.516,0.759
skill_v3,ok,0.7,0.588,0.812,0.563,0.759
raw,ok,0.692,0.626,0.758,0.575,0.759
raw_start_v1,ok,0.683,0.6,0.766,0.517,0.759
raw_start_v2,ok,0.645,0.52,0.769,0.552,0.759
raw_start_v3,ok,0.636,0.531,0.741,0.629,0.759
skill_v1_raw_end,ok,0.638,0.585,0.691,0.628,0.759
skill_v2_raw_end,ok,0.668,0.535,0.801,0.591,0.759
skill_v3_raw_end,ok,0.678,0.567,0.789,0.587,0.759
