version,contrast,metric,n_personas,sample_size_m,delta_point,ci_lo,ci_hi,se,rho,significant
v2_inferred,bg+ep vs bg,overall,50,25,0.0163,0.0044,0.0283,0.0061,0.888,True
v2_inferred,bg+ep vs bg,overall,50,50,0.0163,0.0078,0.025,0.0044,0.888,True
v2_inferred,bg+ep vs bg,cognitive_bias,50,25,0.0076,-0.0028,0.0178,0.0052,0.885,False
v2_inferred,bg+ep vs bg,cognitive_bias,50,50,0.0076,0.0004,0.0149,0.0037,0.885,True
v2_inferred,bg+ep vs bg,pricing,50,25,0.027,0.001,0.054,0.0134,0.873,True
v2_inferred,bg+ep vs bg,pricing,50,50,0.027,0.0085,0.046,0.0096,0.873,True
v2_inferred,bg+dp vs bg,overall,50,25,-0.0034,-0.0172,0.0096,0.0068,0.876,False
v2_inferred,bg+dp vs bg,overall,50,50,-0.0034,-0.0127,0.0059,0.0048,0.876,False
v2_inferred,bg+dp vs bg,cognitive_bias,50,25,-0.0059,-0.0244,0.0077,0.0083,0.774,False
v2_inferred,bg+dp vs bg,cognitive_bias,50,50,-0.0059,-0.0185,0.0044,0.0059,0.774,False
v2_inferred,bg+dp vs bg,pricing,50,25,-0.0005,-0.024,0.024,0.0122,0.904,False
v2_inferred,bg+dp vs bg,pricing,50,50,-0.0005,-0.017,0.0165,0.0086,0.904,False
v2_inferred,bg+dp+ep vs bg+ep,overall,50,25,-0.0062,-0.0184,0.0045,0.0058,0.894,False
v2_inferred,bg+dp+ep vs bg+ep,overall,50,50,-0.0062,-0.0145,0.0014,0.0041,0.894,False
v2_inferred,bg+dp+ep vs bg+ep,cognitive_bias,50,25,-0.0093,-0.0193,0.0004,0.005,0.897,False
v2_inferred,bg+dp+ep vs bg+ep,cognitive_bias,50,50,-0.0093,-0.0165,-0.0024,0.0036,0.897,True
v2_inferred,bg+dp+ep vs bg+ep,pricing,50,25,-0.002,-0.03,0.022,0.0132,0.864,False
v2_inferred,bg+dp+ep vs bg+ep,pricing,50,50,-0.002,-0.021,0.015,0.0093,0.864,False
v2_inferred,bg+dp+ep vs bg+dp,overall,50,25,0.0135,-0.0044,0.0308,0.009,0.783,False
v2_inferred,bg+dp+ep vs bg+dp,overall,50,50,0.0135,0.0008,0.0259,0.0064,0.783,True
v2_inferred,bg+dp+ep vs bg+dp,cognitive_bias,50,25,0.0041,-0.0107,0.0245,0.009,0.737,False
v2_inferred,bg+dp+ep vs bg+dp,cognitive_bias,50,50,0.0041,-0.007,0.0179,0.0064,0.737,False
v2_inferred,bg+dp+ep vs bg+dp,pricing,50,25,0.0255,-0.011,0.06,0.0178,0.783,False
v2_inferred,bg+dp+ep vs bg+dp,pricing,50,50,0.0255,0.0005,0.05,0.0125,0.783,True
v2_inferred,bg+dp+ep vs bg,overall,50,25,0.0101,-0.0063,0.0252,0.008,0.817,False
v2_inferred,bg+dp+ep vs bg,overall,50,50,0.0101,-0.0012,0.0209,0.0057,0.817,False
v2_inferred,bg+dp+ep vs bg,cognitive_bias,50,25,-0.0017,-0.0124,0.0085,0.0053,0.888,False
v2_inferred,bg+dp+ep vs bg,cognitive_bias,50,50,-0.0017,-0.0093,0.0056,0.0038,0.888,False
v2_inferred,bg+dp+ep vs bg,pricing,50,25,0.025,-0.009,0.058,0.017,0.799,False
v2_inferred,bg+dp+ep vs bg,pricing,50,50,0.025,0.0015,0.0485,0.012,0.799,True
v3_maximum,bg+ep vs bg,overall,49,25,0.0122,-0.0035,0.0263,0.0077,0.853,False
v3_maximum,bg+ep vs bg,overall,49,50,0.0122,0.0012,0.0223,0.0054,0.853,True
v3_maximum,bg+ep vs bg,cognitive_bias,49,25,-0.0063,-0.0325,0.0095,0.0111,0.699,False
v3_maximum,bg+ep vs bg,cognitive_bias,49,50,-0.0063,-0.0243,0.0062,0.0079,0.699,False
v3_maximum,bg+ep vs bg,pricing,49,25,0.0357,0.009,0.062,0.0134,0.876,True
v3_maximum,bg+ep vs bg,pricing,49,50,0.0357,0.0175,0.0545,0.0095,0.876,True
v3_maximum,bg+dp vs bg,overall,50,25,-0.0002,-0.013,0.0128,0.0065,0.861,False
v3_maximum,bg+dp vs bg,overall,50,50,-0.0002,-0.009,0.0088,0.0046,0.861,False
v3_maximum,bg+dp vs bg,cognitive_bias,50,25,-0.0066,-0.0176,0.0039,0.0054,0.883,False
v3_maximum,bg+dp vs bg,cognitive_bias,50,50,-0.0066,-0.0142,0.0008,0.0038,0.883,False
v3_maximum,bg+dp vs bg,pricing,50,25,0.008,-0.017,0.035,0.0131,0.876,False
v3_maximum,bg+dp vs bg,pricing,50,50,0.008,-0.0095,0.027,0.0093,0.876,False
v3_maximum,bg+dp+ep vs bg+ep,overall,49,25,0.0062,-0.008,0.023,0.0079,0.838,False
v3_maximum,bg+dp+ep vs bg+ep,overall,49,50,0.0062,-0.0041,0.018,0.0057,0.838,False
v3_maximum,bg+dp+ep vs bg+ep,cognitive_bias,49,25,0.0054,-0.0109,0.0332,0.0119,0.637,False
v3_maximum,bg+dp+ep vs bg+ep,cognitive_bias,49,50,0.0054,-0.0078,0.0249,0.0085,0.637,False
v3_maximum,bg+dp+ep vs bg+ep,pricing,49,25,0.0071,-0.014,0.028,0.0107,0.914,False
v3_maximum,bg+dp+ep vs bg+ep,pricing,49,50,0.0071,-0.008,0.0215,0.0076,0.914,False
v3_maximum,bg+dp+ep vs bg+dp,overall,50,25,0.0185,0.0061,0.0306,0.0062,0.866,True
v3_maximum,bg+dp+ep vs bg+dp,overall,50,50,0.0185,0.0099,0.0272,0.0044,0.866,True
v3_maximum,bg+dp+ep vs bg+dp,cognitive_bias,50,25,0.0059,-0.0028,0.0154,0.0046,0.896,False
v3_maximum,bg+dp+ep vs bg+dp,cognitive_bias,50,50,0.0059,-0.0004,0.0125,0.0033,0.896,False
v3_maximum,bg+dp+ep vs bg+dp,pricing,50,25,0.0345,0.01,0.059,0.0126,0.871,True
v3_maximum,bg+dp+ep vs bg+dp,pricing,50,50,0.0345,0.017,0.052,0.0089,0.871,True
v3_maximum,bg+dp+ep vs bg,overall,50,25,0.0183,0.005,0.0316,0.0068,0.853,True
v3_maximum,bg+dp+ep vs bg,overall,50,50,0.0183,0.0091,0.0277,0.0048,0.853,True
v3_maximum,bg+dp+ep vs bg,cognitive_bias,50,25,-0.0007,-0.0114,0.0105,0.0056,0.873,False
v3_maximum,bg+dp+ep vs bg,cognitive_bias,50,50,-0.0007,-0.0084,0.007,0.004,0.873,False
v3_maximum,bg+dp+ep vs bg,pricing,50,25,0.0425,0.016,0.07,0.0138,0.866,True
v3_maximum,bg+dp+ep vs bg,pricing,50,50,0.0425,0.0235,0.0615,0.0097,0.866,True
