version,config,metric,contrast,n_paired_pids,sample_size_m,raw_mean,skill_mean,delta_point,ci_lo,ci_hi,se,rho,p_two_sided,significant_95,better
v2,bg,overall,v2 bg minus raw,50,50,0.6938,0.6927,-0.0011,-0.0131,0.011,0.0062,0.703,0.8524,False,raw
v2,bg,cognitive_bias,v2 bg minus raw,50,50,0.7418,0.7434,0.0017,-0.0053,0.0088,0.0036,0.907,0.6426,False,v2
v2,bg,pricing,v2 bg minus raw,50,50,0.631,0.6265,-0.0045,-0.0295,0.0215,0.013,0.645,0.7402,False,raw
v2,bg+dp,overall,v2 bg+dp minus raw,50,50,0.6938,0.6938,-0.0001,-0.0114,0.0115,0.0059,0.725,0.9624,False,raw
v2,bg+dp,cognitive_bias,v2 bg+dp minus raw,50,50,0.7418,0.7476,0.0058,-0.0015,0.0129,0.0037,0.906,0.1186,False,v2
v2,bg+dp,pricing,v2 bg+dp minus raw,50,50,0.631,0.6235,-0.0075,-0.03,0.016,0.0117,0.71,0.5326,False,raw
v2,bg+ep,overall,v2 bg+ep minus raw,50,50,0.6938,0.7065,0.0127,0.0022,0.0234,0.0054,0.751,0.0172,True,v2
v2,bg+ep,cognitive_bias,v2 bg+ep minus raw,50,50,0.7418,0.7493,0.0075,0.0007,0.0146,0.0036,0.909,0.0316,True,v2
v2,bg+ep,pricing,v2 bg+ep minus raw,50,50,0.631,0.6505,0.0195,-0.004,0.0435,0.0122,0.647,0.1044,False,v2
v2,bg+dp+ep,overall,v2 bg+dp+ep minus raw,50,50,0.6938,0.6955,0.0017,-0.0209,0.0189,0.0102,0.49,0.7992,False,v2
v2,bg+dp+ep,cognitive_bias,v2 bg+dp+ep minus raw,50,50,0.7418,0.7292,-0.0126,-0.044,0.0062,0.0138,0.542,0.436,False,raw
v2,bg+dp+ep,pricing,v2 bg+dp+ep minus raw,50,50,0.631,0.6515,0.0205,-0.005,0.0465,0.0131,0.564,0.112,False,v2
v3,bg,overall,v3 bg minus raw,50,50,0.6938,0.6946,0.0008,-0.0098,0.0117,0.0055,0.759,0.8896,False,v3
v3,bg,cognitive_bias,v3 bg minus raw,50,50,0.7418,0.7485,0.0067,0.0003,0.0132,0.0033,0.929,0.0388,True,v3
v3,bg,pricing,v3 bg minus raw,50,50,0.631,0.6245,-0.0065,-0.0295,0.0175,0.0121,0.685,0.6026,False,raw
v3,bg+dp,overall,v3 bg+dp minus raw,50,50,0.6938,0.6988,0.005,-0.0064,0.0167,0.0059,0.679,0.3968,False,v3
v3,bg+dp,cognitive_bias,v3 bg+dp minus raw,50,50,0.7418,0.747,0.0052,-0.0024,0.0128,0.0038,0.892,0.1796,False,v3
v3,bg+dp,pricing,v3 bg+dp minus raw,50,50,0.631,0.636,0.005,-0.0205,0.031,0.0132,0.566,0.7242,False,v3
v3,bg+ep,overall,v3 bg+ep minus raw,49,50,0.6927,0.7107,0.018,0.0049,0.0323,0.007,0.603,0.0064,True,v3
v3,bg+ep,cognitive_bias,v3 bg+ep minus raw,49,50,0.7401,0.7491,0.009,0.0017,0.0158,0.0036,0.912,0.0152,True,v3
v3,bg+ep,pricing,v3 bg+ep minus raw,49,50,0.6306,0.6602,0.0296,0.0015,0.0605,0.0152,0.472,0.0394,True,v3
v3,bg+dp+ep,overall,v3 bg+dp+ep minus raw,50,50,0.6938,0.7129,0.0191,0.0078,0.0311,0.0059,0.692,0.0006,True,v3
v3,bg+dp+ep,cognitive_bias,v3 bg+dp+ep minus raw,50,50,0.7418,0.7513,0.0095,0.0028,0.0164,0.0035,0.913,0.0054,True,v3
v3,bg+dp+ep,pricing,v3 bg+dp+ep minus raw,50,50,0.631,0.6625,0.0315,0.0075,0.057,0.0125,0.617,0.007,True,v3
