Question_ID,Question_Type,Question_Text,Options
Q1,Matrix,Would you support or oppose...,"1 = Strongly oppose
  2 = Somewhat oppose
  3 = Neither oppose nor support
  4 = Somewhat support
  5 = Strongly support"
Q2,Slider,"A panel of psychologist have interviewed and administered personality tests to 30 engineers and 70 lawyers, all successful in their respective fields. On the basis of this information, thumbnail descriptions of the 30 engineers and 70 lawyers have been written. Below is one description, chosen at random from the 100 available descriptions. Jack is a 45-year-old man. He is married and has four children. He is generally conservative, careful, and ambitious. He shows no interest in political and social issues and spends most of his free time on his many hobbies which include home carpentry, sailing, and mathematical puzzles. The probability that Jack is one of the 30 engineers in the sample of 100 is ___%. Please indicate the probability on a scale from 0 to 100.",
Q3,Single Choice,"Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimate of the consequences of the programs are as follows: If Program A is adopted, 200 people will be saved. If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved. Which of the two programs would you favor?","1 - I strongly favor program A
  2 - I favor program A
  3 - I slightly favor program A
  4 - I slightly favor program B
  5 - I favor program B
  6 - I strongly favor program B"
Q4,Matrix,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Please complete the statements below.","1 = Extremely improbable
  2 = Very improbable
  3 = Somewhat probable
  4 = Moderately probable
  5 = Very probable
  6 = Extremely probable"
Q5,Single Choice,"A 55-year-old man had a heart condition. He had to stop working because of chest pain. He enjoyed his work and did not want to stop. His pain also interfered with other things, such as travel and recreation. A type of bypass operation would relieve his pain and increase his life expectancy from age 65 to age 70. However, 8% of the people who have this operation die from the operation itself. His physician decided to go ahead with the operation. The operation succeeded. Evaluate the physician's decision to go ahead with the operation.","1 - Incorrect, a very bad decision
  2 - Incorrect, all things considered
  3 - Incorrect, but not unreasonable
  4 - The decision and its opposite are equally good
  5 - Correct, but the opposite would be reasonable too
  6 - Correct, all things considered
  7 - Clearly correct, an excellent decision"
Q6,Single Choice,Do you think there are more or fewer than 12 African countries in the United Nations?,"1 - more
  2 - fewer"
Q7,Text Entry,How many African countries do you think are in the United Nations?,
Q8,Single Choice,Is the tallest redwood tree in the world more or less than 85 feet tall?,"1 - more
  2 - less"
Q9,Text Entry,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,
Q10,Single Choice,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chance of losing $0.05 extremely attractive.""","1 - Disagree strongly
  2 - Disagree a little
  3 - Neither agree nor disagree
  4 - Agree a little
  5 - Agree strongly"
Q11,Single Choice,"Imagine that highway safety experts have determined that a substantial number of people are at risk of dying in a type of automobile fire. A requirement that every car have a built-in fire extinguisher (estimated cost, $300) would save 98% of the 150 people who would otherwise die every year in this type of automobile fire. Rate the following statement about yourself: I would be supportive of this requirement.","1 - Disagree strongly
  2 - Disagree a little
  3 - Neither agree nor disagree
  4 - Agree a little
  5 - Agree strongly"
Q12,Single Choice,"You have recently graduated from university, obtained a good job, and are buying a new car. A newly designed seatbelt has just become available that would save the lives of 98% of the 500 drivers a year who are involved in a type of head-on-collision. (Approximately half of these fatalities involve drivers who were not at fault.) The newly designed seatbelt is not yet standard on most car models. However, it is available as a $500 option for the car model that you are ordering. How likely is it that you would order your new car with this optional seatbelt?","1 - very unlikely
  2 - unlikely
  3 - somewhat unlikely
  4 - somewhat likely
  5 - likely
  6 - very likely"
Q13,Text Entry,"Imagine that you just paid $50 for a Coffee Connection discount card that allows you to buy coffee for 50% off the regular price of $3.00 (i.e., you pay $1.50). Soon after you purchased the Coffee Connection discount card, Java Coffee, a competitor, opened a new store that sells coffee for just $2.00 per cup. Although the Coffee Connection store is ten minutes away by car, Java Coffee is only about 1/2 block from your apartment. Assuming that you only buy coffee from these two places and that you like the coffee sold in both places the same, how many of your next 20 coffee purchases would be from Java Coffee? Enter a number between 0 and 20.",
Q14,Single Choice,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch of the store which is ten minutes away by car. Would you drive to the other store?,"1 - Yes
  2 - No"
Q15,Single Choice,"Imagine that when you went to the movies last week, you were inadvertently exposed to a rare and fatal virus. The possibility of actually contracting the disease is 1 in 1,000, but once you have the illness there is no known cure. On the other hand, you can, readily and now, be given an injection that stops the development of the illness. Unfortunately, these injections are only available in very small quantities and are sold to the highest bidder. What is the highest price you would be prepared to pay for such an injection? [You can get a long-term, low-interest loan if needed.]:","1 - $10
  2 - $100
  3 - $1,000
  4 - $10,000
  5 - $50,000
  6 - $100,000
  7 - $250,000
  8 - $500,000
  9 - $1,000,000
  10 - $5,000,000 or more"
Q16,Single Choice,Choose between:,"1 - 11% probability of one million dollars 89% probability of nothing
  2 - 10% probablity of five miillion dollars 90% probability of nothing"
